question,answer
为什么我在这里？我是怎么成为现在的我的？为什么我对某些人和事物有强烈的好恶，而对其他的人和事物却漠不关心？为什么我是中国人而不是阿拉伯人，为什么我选择出生在北京而不是摩洛哥？为什么我甚至有“心”？总之，佛教怎么解释，为什么事物是现在这个样子？,"佛教认为，我们以这样的形态存在，事物以这样的形式呈现，是因为数以亿计的因和缘，每个因缘又有其自己数以亿计的因和缘。所以即便我们诞生在同样的家庭和环境中，也会有数以亿计不同的因和缘，使得一些人害怕蜘蛛，可把龙虾腿塞进嘴里时却没有任何不安；使得一些人看到鲜血就眩晕，却把生鱼片视为无上美味。

但是有一个因我必须单独强调，那就是我们的心识。这是最大的一个因。如果没有心识，就不会有生命，也就无法体验其他因带来的负担与快乐。"
仁波切，有些相信万能力量的人对佛教中因果与缘起的概念持怀疑态度，您对此有何看法？,"对于相信存在一种万能力量的人来讲，万能力量本身就是因缘——虽然在究竟意义（胜义谛[1]）上，那可能是他们相信的唯一的因缘。当然，在相对意义（世俗谛）上，我不认为他们的意思是，当煮蛋的时候，在煮蛋这件事中存在一个上帝或万能的力量，如果真是那样的话，只需要向上帝祈祷鸡蛋被煮熟就可以了，并不需要加水、点燃气，或者创造其他煮蛋的因和缘。

不同的人总会信仰不同的对象，他们各有自己正当的理由。不同的人也会对其他人的信仰抱有怀疑，他们也有自己正当的理由。对于佛教徒来讲，相信万能力量是一切事物发生的因，这种观点是非常可疑的。佛教徒不愿意认为万能力量在背后操纵一切，因为佛教徒会想，如果万能力量有那样的能力，那么他也一定有慈悲。为什么他还让我们痛苦？他不是慈悲的吗？因为有能力，他应该解决所有的问题，而不应该坐视我们的痛苦。所以佛教徒更愿意相信，万能力量不是导致一切的终极的因，事物的出现与消失是由于无数的因和缘。

对于一个佛教徒来讲，万能力量的创造者是人自己的心识——就是前面我提到的那个心识。因为我们的心识相信万能的力量创造了我们，于是我们认为上帝存在。所以其实是我们创造了上帝，然后再把创造我们这件事归功于他。"
没有宗教信仰或者崇尚物质主义的人也不相信佛教中因果和缘起[2]的概念，您对此有何看法？,"没有宗教信仰或者崇尚物质主义的人并不是不相信因缘，只是他们对于因缘的理解有限，因而只相信自己看得见摸得着的因缘。他们不能接受全部的因缘，那是小小的心识弄不懂、想象不到，也够不着的。换句话说，他们或许能理解经历了家庭悲剧的儿童为什么长大后会变得抑郁，但他们不会去想这个人最初为何选择出生在那样的家庭。

再比如，父母送孩子去上最好的中学或大学，希望最后孩子能找份好工作。父母们相信自己已经尽一切可能来创造有利条件——有利的因缘，但很多时候，孩子依然没能找到好工作，或者第一天上班就被诊断出胰腺癌。父母或许会认为这很不公平，他们会痛苦，会怪罪他人，或许还会变得愤怒，尽管自己都不知道为了什么而愤怒。这说明他们忘掉了隐性的因和缘，那些因缘可能是在过去世中累积的。

所以，仅仅片面地而不是完整地理解因缘，使得人们陷入各种各样的希望与恐惧之中，并最终引向痛苦与悲伤。

我有个澳大利亚朋友，她是位坚定的女同性恋者，也是女权主义者，性格强势，思想活跃。有一次她来不丹看我，我在那里有位侍者，是个年轻羞涩的不丹男孩，他很少和别人交往，从来都不外向，当然不是讨女孩子喜欢的男生。那时候我旅行在外，回到不丹以后却找不到那位侍者，因为他和这位女同性恋者成了情侣。几个月之后，她甚至怀了他的孩子。渐渐地，她的发型、香水、穿着打扮等都从以前简练的男孩子气变得很女性化。

所以，我们无法知道什么样的因缘在等待着我们。有很多出人意料的事，就在生命的下个路口。对于普通人的心识来说，因缘是无法预测的。"
可否请仁波切解释一下缘起性空，以及佛教中空性的概念？,"不论你是否相信，完全彻底地理解因、缘和果就是理解空性。因为当你完全理解了因缘，就会认识到没有独立的、万能的、初始的因。

把三四根木棍立在一起，顶上放块木板，这时如果再在木板上放只杯子，突然间那东西就成了桌子。如果你坐在上面，它就成了椅子，而桌子突然不复存在，正像它突然出现一般。

所以桌子或者椅子都是暂时性组合在一起的，然而，除了这样暂时而转瞬即逝的聚合物之外，没有一个初始的桌子或椅子。

那些相信万能力量的人相信一切都依赖其他人控制，而不在自己掌握；而那些只相信物质主义的人相信一切都在自己掌控之中。这两种误解都会导致痛苦。

然而因缘不是很容易搞懂，所以人们总是不情愿去深层次地理解因缘。因为当你越来越深入接近因和缘的真相，就会越来越清楚地意识到一个明显的事实——没有一个真正存在的、究竟的因和缘。这样的认知使我们更加接近佛教空性的概念。

我推荐大家看一部叫做《罗生门》的日本电影，是黑泽明导演的作品，从不同人的视角讲述同一个故事。因为有不同的因和缘，所以没有一个故事是完全真实的。基本上这就是我们的情况。由此可以说明，缘起和空性是同义词。"
佛学中是怎么解释宇宙起源的？,"在非正式的对话中，通常我们能够讨论起源，也能够讨论终点。但是当你加上“宇宙的”、“最初的”、或“终极的”这类词语的那一刻，换句话说，当你想知道“究竟的起源”和“究竟的终结”那一刻，那么在佛学里，因为时间是相对的，所以没有“究竟的开始”和“究竟的结束”那样的事情。

这类对话变得非常复杂，因为你身处可讲、可听、可想、可描述的世界，却在尝试着去讲那些不可讲的，听那些不可听的，想那些不可想的，描述那些不可描述的。所以，当你试着讨论或思考那些不可讨论或思考的事情时，总是会出现问题。

此外，当我们讨论不可说或不可描述的事物时，就已经造成了一种神秘感，然而事实上并没有什么神秘的事，只是简单的未经加工的真理。但是因为我们人类无法直接看到真理本身，我们能尝试理解未经加工的真理的唯一办法就是通过贴标签。这个悖论在伟大的道家经典《道德经》中被精确地表述为“名可名，非常名”，这表明我们人类热爱命名。

在佛教里，我们也给这种朴素、未经加工的真理贴了个标签，叫做“法身[3]”。你可以认为法身是神话般的、神秘莫测的，但事实恰恰相反，法身只是一个简单的真理。

因为神秘有“很难”或者“不可理解或解释”的含义，使得法身看起来可能像是个神话。但事实是，法身就在你眼前，甚至要碰到你的鼻子了。我能说的就是这些了。那些问“什么是一切的起源”的人必须记住，有一个世俗谛（相对真理）的领域和一个胜义谛（绝对真理）的领域，他们不能身在世俗谛而期待一个胜义谛的答案，反过来也不行。"
用物质主义的方式来探索因缘会误导我们吗？,"绝大多数中国人并不是一点儿都不相信因缘，而是只相信自己能够明显感知的物质的因缘。

所以他们相信，如果有很多钱，或者有个好丈夫，或者晋升为高官，你就会幸福。但事实并不总是这样。很多有钱人没有时间欣赏金盏花美丽的黄颜色；一个好丈夫可能有勃起障碍；一个有权有势的高官可能有具“壁橱里的骷髅”[4]，日后将会回来缠扰他。

所以，他们必须认识到，物质主义的游戏永远无法真正地根除不安全感。这可能有点难以理解，因为不知为何我们有种盲目的概念——有钱可以想做什么就做什么，想要什么就能得到什么。表面上看，这或许暂时看上去是真的，但是如果你太过屈从于物质的诱惑，意味着你的信心是建立在不确定的、随时可能变化的事物之上。

我的一个学生曾就读于一所高雅的英国学校。她很漂亮，很多男孩儿喜欢她，努力想引起她的注意。一次她来看我，有位家境富裕的仁波切的儿子彻头彻尾地爱上了她。他开着华丽而俗气的车，舞动着路易威登的包，把劳力士表换成了百达翡丽，非常努力地通过这些来向她献殷勤。但是这些恰恰和她喜欢的相反，因而让她畏缩不前。她宁愿和会读莎士比亚的书、会听瓦格纳的歌剧，并且能够讨论生活中错综复杂的事情的人约会。这清晰地表明，如果你变得太物质主义，你就总会有种自卑感。

我去过中国几次，对中国的文化、传统、哲学、医学和武术满怀敬畏，它们是如此壮丽深邃、包罗万象，而且超越时间、令人陶醉。同时我也禁不住想，只要现代中国人仍然把自己的优越感建立在过去的成就之上，就表明事实上他们可能有严重的自卑感。毕竟，中国人穿的牛仔裤、嚼的口香糖、吃的三明治，以及现在听的摇滚乐和流行歌曲，没有哪一样是源自中国的。

同样，闪亮的购物中心及那里出售的商品甚至模特儿都是西方风格的，仿佛是说中国的男孩和女孩没有好到可以用自己的方式来为服装做模特儿。事实上，我看到中国的男孩女孩尽最大努力让自己看起来像西方的男孩女孩，甚至到了节食和做整形手术的程度。这种模仿大概很难使未来的中国人发展出真正的自信。

这么说不一定对，但我认为没有任何一个中国流行歌手在中国之外有真正的影响力。我的意思是，你从不会听到哪首中国流行歌曲在纽约被广泛传唱。反之，几乎每个中国人都穿牛仔裤、吃肯德基，都在努力拷贝美国的物质主义。我敢肯定不少中国人甚至很欣赏Lady Gaga。让人难过的是，似乎没有太多的人对那些真正可以代表美国的品质感兴趣，比如创造力、创新性、民主和开放。

只要中国人不能把穿长衫这样的想法卖给西方人，而是自己几乎都穿着牛仔裤，中国就输了这场游戏，并将总是购买其他人创造出来的产品。或许崇尚物质主义的人现在并不在意，但是将来他们和他们的孩子会受到冲击。所以，用这种狭隘的物质主义方式来看待因缘不仅是肤浅和错误的，而且会带来相当的痛苦，以及一种令自我贬损的自卑感与匮乏感。"
仁波切，虽然佛教正在中国兴盛发展，但我们好像已经丢失了自己的社会价值体系。事实上，现在中国内地最为严重的社会问题，可能就是没有任何真正的精神道路或信仰体系。,"事实上，如果中国人能够用心地保持文化传统的话，中国，和其他很多国家不同，是非常幸运的，因为她有着真正良好的价值基础。我过去对儒家思想持有少许谨慎态度，但现在我认为，儒家思想可以是很好的。

例如，我认为在台湾看到的热忱、人道、善良和责任心应该归功于儒家。当你来到西雅图这样的美国城市，不到一小时就会听到追捕罪犯的警笛声，而在台湾不太会听到警笛，只有垃圾回收车的悦耳音乐。犯罪率这么低一定和儒家有关，当然也和佛教有关。

所以中国人应该珍视儒家的价值，但佛教和道家的智慧也不应被抛弃或遗忘。或许政府、知识分子、政治家、商业首脑以及为人父母者有时仍会利用儒学来满足自己的某种需要，但看上去他们确实把道家和佛教遗忘了。

现在，有很多的传言和证据表明中国人正在变得非常物质主义；但与此同时，也有很多动人的故事和事件发生，有的人以惊人的方式帮助他人，尤其是发生地震或洪水等灾难时。

这表明中国社会有一种始终存在的人性，我们需要更多地去培植它，例如把这些内容放在学校教材里。在中国，有人买下整个小镇，然后把它变成文化遗产保护区，这表明他们看到了某些比一味堆砌金钱更有价值的东西。同样，我也听说还有不少人去终南山或其他山里隐居。可能现在你很难相信，但在未来二百年里，将会是这些人把中国独特的品质与价值继续保持下去。

我并不反对戴劳力士表，或购买昂贵的鞋子和皮包。我只是说，中国人也应该播下并培养精神价值的种子。因为如果精神价值缺失，他们就会成为能够用金钱买到的、肤浅而廉价的人，然后在不知不觉中发展出一个腐败而低劣的社会。

精神种子可以通过很多小事来完成播种，从品鉴中国茶的香味，到复兴古老的隐士文化，等等。"
仁波切，可能有这样一些朋友，他们人非常好，总是尽力帮助他人。但他们觉得不需要修学佛法，因为他们认为自己的行为已经与佛陀的教法一致。他们可以仅凭着自己善良的心，不修学佛法而得到解脱吗？,"做一个友好、善良、慈悲的人并帮助他人，的确是极好的。但这不是唯一的事，事实上，这并不是佛法究竟的目标。我们修行佛法不仅仅是为了成为一个好人，而是为了让自己得到解脱、了悟真理，然后使得其他人也能了悟真理。毕竟，很多慈悲善良的人不一定都是佛教徒。

事实上，即使在动物中间，你也能见到善良、慈悲和关爱的行为。而有些自称是佛教徒的人，即便经过了很长时间之后，却还是既不善良也不慈悲，只是用佛教徒的身份来掩盖自私的行为。

即便是有时表现得善良而慈悲的人也会发现，一直保持这种状态并充满耐心是非常困难的。例如，我自认是相当有耐心的，但巴黎的出租车司机以世界最差闻名，他们粗暴地对待乘客，好像搭乘是免费的一样。一天晚上我在巴黎坐出租车，开车的是位粗鲁无礼的司机。他开得很快，然后猛踩刹车，以致我受了伤。我怒火中烧，失去了耐心，却不知能做什么，因为我坐在后排，于是就地小便了。

所以，即便是像我一样，生下来就是佛教徒，也不是一直都有耐心的。"
有些朋友年轻、健康，有着稳定而幸福的家庭。对于他们来说，轮回[5]似乎是快乐的，因而就连想到出离心也很难。仁波切可否就此开示？,"不必在意那些不能想到出离的人。按理说我是教授出离心的人，但即便是我自己，也会忘记每一刻我都在老去，每一刻我都距离死亡更近。我的健康像是草上的露珠，取决于非常多的条件，而其中很多条件都不在我的掌控之中。

许多人很难认识到轮回是苦，因为我们对于生活的投影总是透过希望的镜头来完成的。举个例子，即便我们正在遭受实实在在的痛苦，我们依然相信事情会得到改善。然而有多少次，当我们解决了旧的问题，新的问题又出现了？但我们仍然怀有强烈的幻想，认为有一天我们可以在一个没有问题的地方安顿下来。

所以出离心对每个人来说都很难。但是，如果我们拥有出离心，事实上它会让我们的生活更加丰富，帮助我们更加珍视自己所拥有的一切，家庭、朋友、财富，乃至小小的一杯茶。这是因为，一个有无常观的人每次品茶，都好像是品人生的最后一杯茶，因而会倍加珍惜。"
有些朋友尊敬佛法，但是下不了决心皈依[6]，因为他们担心皈依后被佛教的戒律[7]所束缚，失去了想做什么就做什么的自由。仁波切可否就此开示？,"首先，害怕失掉自由是非常正常的。所有人都害怕。然而，具有讽刺意味的是，没有人真的知道怎样才能自由，怎样才能让他们自己得到解脱，无论是从一个受到狂热崇拜的精神导师那里，从祖先崇拜这种非常顽固地根植于文化的传统那里，从儒学、道家、佛教等宗教那里，还是从诸如共产主义、社会主义或者民主等政治信仰那里。

我们最后总是会陷入到想要抓住些什么的圈套中。而且很多时候，我们并没有意识到自己已经被捕获、被束缚了。例如，科学家们指出，信仰宗教的人们被宗教教义所束缚，并且认为相比之下自己更加自由，但实际情况是他们也身陷某种体系。

所以我想，那些不明白佛教事实上是获得解脱和自由之道的人恐惧失去自由，是可以理解的。而且，好几代人乃至好几个世纪以来，佛教几乎不可避免地完全浸泡在特定的文化中，这些文化传统往往衍生出某些体系或者行为准则，可能给那些误以为文化是佛教精髓的人带来被束缚的感觉。

所以，这些人不希望许下有点儿像是立誓一样的承诺，这是很能理解的。但是如果他们明白佛教真正讲的是什么，哪怕只是一点点，比如“皈依法”意味着皈依诸如“一切和合的事物都是无常的（诸行无常）”这样的真理，他们可能感觉是被解放了，而不是被某种行为准则或者某个俱乐部的礼制所束缚了。

事实上，他们可能会明白，如果不接受这些真理并且也不皈依它们，那么他们最后会盲目地相信很多的事物是恒常不变的，这将把他们引向痛苦。例如，如果你皈依了“我们出生了，因而必将死亡”这样的真理，那么我想，即便是你吃饭、购物，甚至和别人聊天的方式都会不一样，因为突然之间有关这个真理的认识悬停在你的上方，实际上这让你变得相当谦逊，而且非常真诚。或许你甚至会以不同的方式看待你的男朋友或女朋友，因为当你把他或者她看成无常的，把你们之间的关系也看成无常的，实际上，这将可能导致一段更加和谐、珍贵的关系。

但是回到为什么有人因为害怕失掉自由而犹豫要不要皈依佛教的问题上，我想要指出另一件事：因为对佛法缺乏正确的了解，所以每当谈到成为佛教徒，人们立刻想到的是出家，或者去山洞里修行，或者成为素食者，以及再也不能品尝金汤尼酒或者享受丝质的内衣。事实上并不是这样，所有这些你都能做。人们应该记住，曾经有像阿育王那样的佛教徒，他享用的比金汤尼酒多得多；还有忽必烈汗，他品尝的美味也比纽约牛扒要多得多。"
有些朋友对现代科技有强烈的信心。谈到佛教的见地和理论时，他们总是问同样的问题——这些能用科学的方法来证明吗？仁波切可否谈谈佛教与科学的关系？,"有一点我们必须知道，当你说“被科学证明”，你总是在说一件有心智参与的事。当你说我们在证明，是有人在向另外的人的心智证明。无论我们研究的是什么，证明或者不证明总是发生在心智的范围内。所以，到头来，是你的心在决定什么是正确的或者不正确的。对于我来讲，宗教和科学同样是迷信。

科学的定义是：“围绕通过观察和实验来进行的关于物理世界和自然世界的结构与行为的系统研究，而进行的智力上的和实用性的活动。”如果是这样的话，佛教徒会非常肯定地说，佛教正是科学——两千五百年以前被教授的，通过对现象的系统研究、实验和观察而进行的科学。

重要的是，人们要知道，大约在爱因斯坦发现时空是相对的之前两千五百年，佛陀已经告诉我们，时空是相对的。在科学世界对万能的造物主提出批评之前两千五百年，佛陀已经告诉我们，没有造物主上帝的存在。

佛教徒相信事物从不随机出现，而是总有着各自的因缘，这也肯定就是所谓当代科学世界的核心方法。我只是想说，在佛教里，关于因和缘的观察比当代科学更加深入、更加内在，因为和当代科学家不同的是，佛教徒的主要兴趣不在对外部现象的强调上。"
有些朋友皈依很长时间了，但是却不太花时间学习和修行，就像生病的人拒绝服药。结果他们对佛法的理解较为局限，对三宝[8]的信心随着时间的流逝逐渐下降。仁波切对他们有什么好的建议吗？,"当然，如果你有时间、精力和资源来学习、修行佛法是非常好的。但是如果没有，那么哪怕只是皈依过一次，也是好的。并且，如果你没有抛弃或者放弃三宝，你的状况还是要比任何其他可能是富裕或者成功的普通人好很多。

[1] 胜义谛：真理分为二谛：世俗谛（Relative Truth）及胜义谛（Ultimate Truth）。世俗谛描述事物显现的相对性真理，胜义谛描述真实无谬的实相的绝对真理。这两个层面的真理在四大哲学流派及金刚乘中有不同的定义，渐进地深入并接近事物的实相。
[2] 缘起（英Interdependent arising / Interdependent origination）：一切现象皆各由其特殊因缘之聚集而生的自然法则。一切现象，皆非无因而显现，亦非由无因之造物主所创造。一切事物均完全依于因缘和合而生；没有因缘，事物是不可能出现的。
[3] 法身（梵Dharmakaya）：字义为“实相之身”（Absolute or Truth Body）。成佛后，证悟的功德显示为佛的三身，即法身（Dharmakaya）、报身（Sambhogakaya）和化身（Nirmanakaya）。此三身不仅相关于我们心识本质的三个面向，也相关于一切现象。我们感知的外在事物为化身，其体性为报身，自性为法身。
[4] 译者注：a skeleton in his closet，英文俚语，意为不可告人的秘密。
[5] 轮回（梵Samsara）：众生在六道中生、死、投生的循环，其性质是痛苦、无常和无明的。轮回也指凡夫被无明、二元分别、业和烦恼遮蔽心性的状态。
[6] 皈依（英Taking Refuge）：佛教修行的基础和入门。皈依是所有戒律的根基，是区分佛教徒与外教的标志。皈依的精髓是为了使自他从对轮回苦痛的恐惧中解脱而接受佛、法、僧三宝为皈依处，并对三宝生起不退的信解。
[7] 戒律（梵Vinaya）：佛陀口传给他的出家众弟子的纪律准则，后来被编入叫做“律藏”的经典。
[8] 三宝（英Three Jewels）：珍贵的佛（Buddha）、法（Dharma）、僧（Sangha）三宝，皈依的对境。"
轮回真的存在吗？,"轮回的意思是“不断地循环往复”。但是究竟是什么在不断地循环往复呢？是无明[1]、行及其结果（根据十二缘起[2]的教法）——每一个创造另外一个。作为结果，轮回以一种既有序又混乱的方式，生动多彩而又痛苦地存在着，仿佛触手可及，就像一场噩梦。事实上，轮回的存在是如此系统，以致我们甚至忘记了它是一个幻觉。轮回就是这样强有力地存在和运转着，所以这不是我们应该开玩笑的事情。

关于十二缘起，请参见问题6。"
佛教中是如何定义“自我”的？,"佛教对“自我”的定义是一个假名安立的概念，在观待五蕴[3]（色、受、想、行、识）之后，把五蕴短暂的聚合称为“自我”。虽然它是假名安立的，但任何人却都不应该掉以轻心，因为正如我前面所说，这个所谓的“自我”是如此完备而系统的假名安立，并且我们是这么习惯于它，以至于我们甚至已经忘记了它是假名安立的。它已然成为一种习性。

就像如果你有嚼酸东西的习惯，当其他人这么做时，即便那种酸的味道不在你的嘴里，你也会立刻流口水。习惯就是这样强有力地运作着。所以佛教认为，自我是相对地存在着——作为一种习性，一种假名安立的概念。"
如果有来世，谁又是我的来世？来世的我还是现在的我吗？,"如果明天我来到你的门前，我们通常认为今天在这里的同一个我明天又来了。正像那样，在相对层面上，我们有所谓的来世。在来世，这个假名安立的自我来了，就像是第二天又来了一样。

现在的“我”只是一个抽象的概念，不是具体的或者实质性的。然而，你真的不能说昨天的我和今天的我是一样的。如果他们全然相同，我们就被同样的“我”卡住无法动弹，就不会有变化，也不可能变化。那样的话，我们就不会成长，也不会经历内在的改变，甚至不会忘记什么，也不会记住什么，也就不用刮胡子、剪头发了。

然而，我们也不能说昨天的我和今天的我是完全不一样的，因为如果他们像奥巴马和奥萨马那样是两个单独的人，那么就好比奥萨马放屁是因为奥巴马吃了太多的豆子那样。事实上，是奥巴马吃了豆子以后自己放屁。这表明过去的我和现在的我之间也有着某些关联。

换句话说，昨天的我和今天的我不是相同的，但也不是不同的。延续感是彻头彻尾的幻觉，然而是一个非常有力量的幻觉。没有它，我们昨天做的事情对今天的我就没有影响。而我们人类确实有习性，于是我们产生这样的一个观念——有一个来自于昨天的我的延续体，它会持续到下一世。这种幻觉强大到让我们紧抓不放，从而成为我们的痛苦、欢乐以及其他所有烦恼的容器。"
但是为什么今天的我记得昨天的我，而来世的我却不会记得前世的生活？,"如果发生了什么猛烈的事，比如天花板掉到你的头上，把你砸成了脑震荡，突然间你可能连自己是谁都不记得了，更不用说昨天或者十年以前发生的事情了。我们中大多数人不记得前世，是因为发生了某种比被天花板砸到还要可怕的事——某种叫做死亡的事，它所导致的震荡大到足以让意识和身体完全分开。

但是即便我们确实记得前世，也还是不能证明前世确实存在，因为我们的记忆来自于意识，所以它只是一种想象。但是同时，即便我们可能不记得我们曾经是谁，以及我们的父母、我们的地址等等，我们还是有很多习惯性的心理障碍以及莫名的熟悉感，它们可能比记忆更加强烈。例如，没有明显的原因，我们却可能在情感上或心理上被某个人所吸引，或者对某人感到厌烦。即使我们不记得自己是谁，这些情感看上去也好像是从过去世带来的。

我有个欧洲朋友，是位时装设计师，他的妻子是如此美丽，其他人都仰慕她而嫉妒他。她美丽的红头发总是干干净净的，手上总是涂着漂亮的指甲油，非常优雅。

但是这个家伙最近遇到一位澳大利亚女士，跟他母亲一样老，也不具备他妻子的任何特质。当她说话时，我总是私下里希望她会使用李施德林（一种口气清新剂）。然而，我这位朋友是如此强烈地被她吸引，并且说有生以来，她是唯一可以让他兴奋的女人。当我问他喜欢她什么，他有几百个理由，但你会发现这些理由都没有逻辑。这种吸引真的只是一种感觉，现在却变成了他头脑里的逻辑。

这种现世的情感事实上比记忆更加强烈，也有着更大的惯性，所以可能影响到我们所谓的来世，虽然那时我们可能不记得自己曾经是谁。"
佛学中关于十二缘起的教授不是很好懂，也很难记住。仁波切可否用通俗一些的话开示轮回过程？,"十二缘起（梵文叫nidhanas），是非常重要同时也非常复杂的教授。它深奥而精妙地展示了因果是如何运转的——一个因如何产生果，然后这个果又如何变成另一个果的因。因果循环的持续就是我们所说的轮回，而因果循环的终止则叫做涅槃[4]。

所以十二缘起提供了非常重要的图解，让我们从根本原因上来着手处理我们所经历的痛苦与问题。简单地表述，当我们看到某个物体，比如说一个橘子，首先我们把橘子看成一个整体，而不是果皮、果汁、果肉、果核等组成部分。并且，我们把橘子看成是一个独立的存在，而不是依存于橘子树、阳光、土壤、采摘者等一系列因缘的存在。在我们的经验中，橘子好像是永恒的实体，而不是一个会腐败发霉，或者会和唾液混合在一起被消化掉，然后变成大小便排出体外的暂时存在的现象。所以，基本上你对于那个叫做橘子的现象有着错误的概念，而那就是产生轮回痛苦的核心错觉。

这一误解导致了十二缘起中的下一支——行支。一旦你有了“橘子是整体的、独立的和永恒的存在”这种错觉，下一支缘起就会生起。那个错觉让你产生诸如渴求橘子、希望得到橘子、害怕得不到橘子等情绪，以及尝试得到橘子的行为。所有这些把你带向橘子的生，橘子的生转而把你带向橘子的死。

当然，这只是表达甚深十二缘起的一种简要而概括的方式。

所以，切断因果之链的策略是，首先分析，失去或者得不到橘子的痛苦从哪里来——来自想要得到橘子的渴望与行为。随着更加深入地分析，我们认识到，这种渴望本身始于一种错觉，即把某种事物看成一个叫做橘子的存在，所以我们尝试着手解决这个错觉。

一旦这个错觉停止，对于橘子的希望和恐惧就不会再生起，渴望和执着之链也随之停止，橘子的生与死也就会停止。于是，一旦你从把橘子认为是真实存在的错觉中解脱出来，就不会再有更多的转世重生。"
