question,answer
这里再说一次，或许发愿是你唯一会做的事。但如果你还不知道怎样为正确的事发愿，那么大乘的佛经里甚至教授发愿生起正确的发愿。你可以说：“如同祜主文殊师利菩萨和普贤菩萨发愿那样，我也一样发愿。我发愿能圆满所有大乘甚深法门，如慈悲喜舍[13]、菩提心[14]等。”

修行路上有些方法是深不可测的，像是冥想空性的修法。对于我们之中的大多数人来说，空性在理智上有些道理，但当你去实修的那一刻，方法总是打败目标，于是你以做了相反的事而告终。你怎么修一切都是空性呢？如果我们认为什么也不存在，就是断见[15]。

在佛经里，佛陀说，如山一般大的我执是坏的，却还是比只有芝麻粒大小的对空性的执着要好很多。所以我们唯一能做的事情就是发愿，发愿能够懂得空性，懂得它全部的、完整的含义。

在学习的时候，理智上你可以通过空性的逻辑去仔细分析现象。但当你修行时，发愿能够理解它可能是最好的开始。所以你发愿认知那些不可思议的、无法想象的方法，了解其全部完整的含义、潜力和作用。

我们应该修行的另一个不可思议的方法就是利益众生，但是像我们这样心胸狭窄而渺小的人，却不知道对我们而言那意味着什么。“希望我能利益众生”，能这样说是很好的，也是政治上正确的、能在公众面前讲的好辞令。但是大多数时候，我们甚至做不到自始至终去利益一个人，我们应当怎样去修行，怎样去开始呢？我们多半甚至不知道问题是什么，更不用说怎么去提供帮助了。

所以，有些难以测度的行为比如利益众生，也是可以通过发愿来完成的。其他一些事情也一样，比如我们该怎样战胜懒惰。这是很困难的，而且我们很可能不会成功。所以我们反复地发愿，希望变得精进，战胜懒惰。

另一个挑战是，特别是对那些安于精神之道的人来讲，灵感是关键，而很多时候我们却没有修行的灵感。我们所见到的能鼓舞我们的人不够多，我们所遇到的能鼓舞我们的处境不够多。所以再一次，我们发愿能受到鼓舞和启迪。

理智上我们知道珍爱自我是不好的，即使在世俗世界，自私的人也被认为是不好的。但是做到不自私则是困难的。甚至想要利益所有众生的修行下面也可能潜伏着自私。

自我总是潜伏在某个地方。如果你对它温和，它就会被惯坏。如果你试着对它严厉，可能会成功地把它从隐藏的地方引出来，但它最终总是可以找到另一个洞穴隐藏起来。自我掌握了你所有的技巧，但是你只知道很少几个它的把戏。所以发愿战胜自我就是一个很好的基础。

你的发愿必须伴随着正见，但是我们当中的大多数人并不知道正见的含义。对于初学者，为了建立正见，我们的发愿应该有宏大的愿景。例如大乘的发愿是，直到所有的众生都解脱自己才证悟成佛，并且你独自一人要让所有的众生觉悟。我们不仅发愿建设很多医院，为很多人供养食物，而且发愿最终能让他人看到真理。

因为这样的见地，发愿的动机也应该是没有局限的。我们不应该被个人的微小利益或者暂时性的解决问题所局限，而是要有真的让所有众生都证悟成佛这样宏大的发愿。

这样的宏的动机和愿景保护我们不受幻灭和失望的伤害。如果你做的生意能够赚到一百万，那么几百元则不会动摇你。

可以说，发愿的真正要诀是自律的训练，在于要坚持不懈地做。我不是在说那种长而详尽的祈祷文，我是说要真的养成随时随地发愿的习惯，在任何处境之下，无论高、低、好、坏、成功与失败。永远不要把自己发愿的地方局限在佛堂、圣地或者山顶，而是真的在最不可能的地方去发愿。

如果你是一个佛法的追寻者，我想，如果你能观想诸佛菩萨在你面前、在你身旁或身后、在你的四周，作为你所发愿的一种支持，将会有些帮助。我们这样做有很多原因。我的意思是，仅仅只是忆念诸佛菩萨就有很多福德，因为福德是发愿的肥料。所以你祈请诸佛菩萨的加持，使你的发愿得以实现，使你的发愿保持在正确的轨道，而不被其他很多分散注意力的事情或目标所动摇。

而且在发愿时，几乎像作为证人一样迎请诸佛菩萨莅临，这看上去能产生一种责任感、创造一点儿约束力——既然你已经在所有的圣人面前发愿，这是你的愿望，要自始至终走下去。

这是标准的发愿理论的简要介绍。"
一个已经证悟的人是什么样的？没有了二元分别的心识，他的生活会改变吗？,"无法描述。看上去他们甚至可能会比我们更像普通人，显现上他们可能会脾气极坏，或者极其挑剔，他们也可能像是患了疑病[16]，总是在说自己生了病。我们无从知道。

好吧，我们自己作为有二元分别的人，永远不能真正地了解一个了证悟的人有着怎样的生活。但是，如果一个人到达那个阶段，诸如赞扬、批评、得、失、被关注或者被忽视等这些事情不会再对他有影响，那么我们只能猜测，这样的人会过怎样的生活。我想试着猜一猜也是好的。"
仁波切，请问您见到过证悟了的人吗？有没有能作我们榜样的证悟了的人？,"我个人愿意相信我看到过证悟了的人，就是我的上师们。把他们看作证悟的人是我的修行。至于他们是否已经证悟，这甚至不是一个问题。我必须把他们看作证悟的人，这是我的修行。

我强调这一点，因为所谓的榜样是非常主观的。佛陀被很多人看作是证悟的人，然而他的表兄及其追随者们并不认为佛陀是一个完美的榜样。我们如果认为某些人不是正确的榜样，那也只是我们自己的看法。佛陀说过：“只有像我一样的人才能够判断一个人是否证悟。”

这就是为什么我们总是习惯于使用自己的情感判断力与理智判断力。可以说，我们需要闻思来提高自己的理智判断力，需要实修来提高自己的情感判断力。即便是证悟这个概念，对于我们中的大多数人来说，也是一个随意的、模糊的、理智上的概念。证悟不会是坏的，它最好是好的。对于我们中的大多数人来说，证悟的吸引力来自我们对今生拥有的不满足，所以我们寻求更高的东西，如果你在追寻某种精神之道，这是好的。不满足于你所拥有的，不满足于这个平庸的物质世界，真的以超越的、更高的追求为目标，是一件好事。是这种渴望与追求让你成为高尚的、精神性的人。"
从佛教观点来看，什么是真正的好运？可否请仁波切就福报与运气进行开示？,我从未理解幸运的定义是什么。一般的理解，运气像是没有由来的、随机发生的事情。佛教徒不相信这种运气。在佛教里，所谓的福德，是你可以创造也可以毁灭的。它不是随机而来的。当它来临时，可能表现得是随机的，那是因为你还不了解业的细微点。
闻思与修行的关系是什么？在学修的不同阶段，我们应该分别花多少比例的时间与精力在闻思与修行这两个方面？,听闻佛法始终是非常重要的，特别是在刚开始的时候。即使开始修行以后，闻和思也还是重要的。一旦对于自己所选择的无论哪种修行之道具有完全的信心，那么或许闻思就有点儿浪费时间，那时你就应该专注于打坐和修行。
您对放生有何看法？,"通常我们认为，放生是善行，是有功德的。佛陀讲过两种功德，一种是有染的，另一种是无染的。无染的功德是通过对佛陀的虔敬心而积累的功德，特别是通过打坐，安住于当下，不去追逐过去的经验，也不期待未来；此外还有对空性的领略和闻思修，例如对《金刚经》的闻思修。事实上，最高的无染功德基本上是关于空性的思维与冥想。

关于有染的功德，很多经论上说，放生——拯救其他众生的生命，拯救某个本来肯定要死或者过早死去的众生——是最高的有功德的行为，从这个角度，可以说放生比修建寺庙更有功德。

在这个年代，鉴于环保人士提出的问题，以及我们现在所了解的环境和栖居于地球的众生的生活方式，我们面临新的挑战。

通常在佛法修行中，特别是大乘佛教里，是动机让一个行为成为善行或者非善行。有真正好的动机，甚至你说的一个妄语，也可能是在积累功德而不是在造恶业。基于此，在过去，放生的动机纯粹是为拯救将要被杀害的众生。

但现在我们有了新的信息，例如，某种在这个河段捕到的鱼类或许在另一河段或者大海中将无法生存。有了这些新的知识，我们就会有疑问，如果知道将它们放生到另一海域，它们就会死去，那样的放生有什么意义呢？那几乎像是把鱼儿放进炒锅里。

我们也有这样的疑问——放生行为是否会鼓励人们去捕获更多的鱼、鸟或动物，由此而成为一些人的生存手段？在缅甸、斯里兰卡和一些佛教圣地，这可能是真的，在那里你会经常看到人们在寺庙外面卖小鸟和鱼。所以有这样的争论。

本质上，我们应该设身处地去思考。如果你被抓住了，关在笼子里，即将被切细、剁碎、油炸，这时如果有人来把你放了，即便只是几个小时，你会有什么样的感觉？毕竟，这个人给你机会，使你得以和朋友相聚、回家喝最喜欢的茶、读最喜欢的书或者听最喜欢的音乐——这些乐趣你几乎都失去了，直到这个人的到来。

我们人类总是心怀傲慢，认为动物没有感觉，比如虾或者龙虾——只是因为它们没有地址和电话号码，或者因为它们不会抱怨，我们就莫名其妙地、下意识地认为，切割它们和切割蘑菇一样，没有什么不可以的。但我们都知道，如果你抓住了一只虾或者一条鱼，它们会挣扎，努力把自己挣脱出来，这一定意味着它们热爱自己的生命，一定意味着它们正在经历的不是它们想要的。

当我们关注大一些的动物，比如奶牛，我们可以清楚地看到，它们不仅爱自己的孩子，事实上，即使没有任何沟通的方式，它们对自己的拥有者——人类，也会产生喜爱之情，所以很显然，它们是有感情的。

我们甚至无法忍受来自蚊虫的小小叮咬，即使蚊子并不知道它咬的是你。对蚊子来讲，那是一个重大的生存机会，或许它只有一天的寿命。我们却变得很生气，疯狂地保护自己的孩子免受蚊子的侵扰，把它们统统消灭。它们毫无抵御能力，而我们有像驱蚊剂和蚊帐那样的防御措施。动物们丝毫没有防御能力。即使只是作为一个正直的人，杀生的行为和间接导致杀生的行为也是不道德的。

但是，鉴于我们有的新信息，我们现在遇到了挑战。在应该按照传统的方式尽最大努力去拯救生命的同时，我认为，现在是我们以不同的方式去思考，用很多其他的方式去拯救生命的时候。

如果一个精巧设计的耐克广告都能让全世界买耐克鞋，那么我们不难设计一些广告，来提倡动物保护以及素食的生活方式。那么你不仅在从根本上解决问题，而且如果你把这样一个活动作为放生的一种形式来做，它也可以是拯救生命的方便法门。

不管怎样，科学家告诫我们，总的来说，人类这个物种是不适合吃肉的，实际上，肉食并不是人类自然的饮食习惯。医生也告诫我们，特别是在今天，只要想想那些肉类加工食品放了多少添加剂，以及养殖场是如何对待和喂养那些用于杀害的牛、猪、鸡以及其它动物的，我们就会意识到，即便只是出于健康考虑，吃肉也不是件明智的事。

总会有人提起西藏喇嘛吃肉的问题，这是一个难以消亡的古老的西藏习俗。藏人现在没有借口再继续这个习俗了，事实上，他们有无数理由不再继续。过去他们或者没有蔬菜，或者不知道什么蔬菜可以吃，或者没有关于种植蔬菜的知识。而现在，借助先进的技术，你甚至可以在最高的山上种菜。所以除非这个喇嘛是一个无论做什么都会利益众生的大成就者或者瑜伽士，否则西藏吃肉的习惯纯粹就是一个老习惯，而且不是一个好习惯。

经常被提出来的还有另一个问题——“金刚乘[17]是否开许人们吃肉？”绝对没有。金刚乘没有偏好。过去在印度——佛教起源的地方——婆罗门的文化是最高文化，他们极度蔑视吃肉这一行为，并把吃肉的人看作最低种姓。密续总是反对二元，因而反对有所偏好。正因如此，在密续仪轨中，我们会发现酒肉之类的东西，但是人们应该认识到，密续仪轨中的肉是有特殊用意的，目的是故意把地毯从行者脚下抽走[18]。在两千多年前的印度婆罗门文化中，这种仪轨发挥了作用。

我不认为这在今天的中国或者美国还会起作用，因为吃肉的人没有被认为是坏的。实际上，金刚乘真正要说的是，一盘饺子和一盘大便应该被没有偏好地、同样地接受。这是要点所在。金刚乘从未颁发吃肉的许可，同样，金刚乘也没有颁发偏好蔬食的许可。

[1] 大圆满（梵Mahasandhi，英the Great Perfection，藏Dzogchen）：也称“阿底瑜伽”（Ati Yoga，三内瑜伽的第三种），宁玛派的最高教法。强调通过对本初智慧（Primordial Wisdom）的洞察，离于取舍、希惧，而获得解脱。
[2] 二元分别（英Duality）：迷惑众生的凡夫见，即以主体（意识）与客体（外在世界及感知形象）的分别心来看待现象，并相信现象真实存在。
[3] 中观（梵Madhyamika，英the Middle Way）：又称“中道”，是佛教四大哲学流派（一切有部、经部、唯识宗、中观）中的最高思想，指避免常见（认为现象为实有）和断见（认为一切皆不存在）两个极端见地。
[4] 阿比达摩（梵Abhidharma）：又称“论藏”，大藏经三大部（律藏、经藏和论藏）之一，佛陀系统性教授形而上学的教言。
[5] 密续（梵Tantra）：佛陀以报身相（Sambhogakaya）所开示的金刚乘教法。
[6] 元素（英Elements）：“五大”为组成世界的基本元素，由其生起一切示现，包括物质宇宙与所有住于其中者。它们之所以称为“大”，是因为一切皆依于此，而且五大遍在各处。教法中提及“四大”（地、水、火、风），“五大”（地、水、火、风、空）或“六大”（地、水、火、风、空、识）。
[7] 根（英Sense Organs）：眼、耳、鼻、舌、身、意。
[8] 尘（英Sense Objects）：色、声、香、味、触、法，与六根对应，是六根感受的外境。
[9] 本尊（英Deity，藏Yidam）：三根本（上师、本尊、空行）之一，作为保护者或禅修对象的佛的身相，是精神修持成就之根本。本尊通常依据其外表显现而分为寂静本尊和愤怒本尊。
[10] 心咒（梵Mantra）：音节的特定组合，是本尊本质的象征和沟通，具有净化和达到了悟的功能，例如观音心咒（嗡嘛呢巴美吽）。
[11] 手印（梵Mudra）：手势，或精神伴侣，或本尊的色身。
[12] 中阴（英Intermediate State，藏Bardo）：中阴的藏文是Bardo，字义为“中间状态”（in-between state）或“过渡状态”（transitional state）。虽然这个术语常用于意指死亡和投生之间的状态，金刚乘实际上探讨六种中阴：生处中阴、禅定中阴、梦境中阴、临终中阴、法性中阴和转生中阴。
[13] 四无量心（Four Boundless Thoughts）：四无量心为大乘中培养菩提心的方法，包括（1）无量的慈；（2）无量的悲；（3）无量的喜；（4）无量的舍。
[14] 菩提心（梵Bodhicitta）：字义为“证悟的心”。在相对（世俗谛）的层面上，这是愿为利益一切众生而证得佛果的愿力，也是为了达到这个目标所必要的慈悲心、六波罗蜜（Six Paramitas / Six Transcendent Perfections）等方法的修持；在究竟（胜义谛）的层面上，它是对究竟本性的直观。
[15] 断见（Nihilism/ Nihilistic View）：认为一切皆不存在的极端见地，包括不相信转世、因果，认为死后精神也将消亡。相对于断见的另一极端被称为“常见”（Eternalism），指相信永恒、无因的造物主的观念，特别是指认为自我或心识具有独立、永恒、单一和实在的本质。
[16] 疑病（hypochondriacs）：总是感觉自己生病，反复求医，但又没有真正的临床症状表现。
[17] 金刚乘（梵Vajrayana/Guhyamantra）：金刚乘，又称“密咒乘”，是藏传大乘佛教的精华。金刚乘是建立在菩提心的基础上、以培养净观为核心的修行之道。为了迅速直接地了悟佛性、洞见实相，金刚乘提供了众多积累福德和智慧的有力的方法。通过观想、持咒及禅修，凡夫见地被转化为“净观”，即以其本然面目看待和经验一切事物。
[18] 把地毯从脚下抽走：英文俚语pull the carpet from under someone's feet的直译。意为拆台，破坏计划。
# 学修佛法与日常生活
佛教不是逃避现实，而是从我们误认为是现实的那种幻觉中逃离。"
学修佛法会不会影响到正常的家庭生活和工作？,"莫妮卡的工作是在最为时尚的男性俱乐部里做脱衣舞娘。作为一个舞女，她必须保持自己漂亮的容貌和性感的身材。这很有挑战性，因为这份工作要求她上夜班，就是人们社交以及男人们下班后到“那种地方”去的时候。她的工作量很大，每天晚上十点开始，平日里凌晨三四点才结束，周末会更晚。

为了找份别的工作，莫妮卡曾经试过很多办法。实际上她是个艺术家，同时也是一个训练有素的园艺师。但是，现在这个年代，要找到有体面收入的合适工作对她来讲太难了。此外，因为她是佛法的追随者，她唯一的希望就是能多花一点儿时间修行，这与赚钱有点冲突。她很希望可以积攒到足够支持长期闭关的钱，例如三年闭关。但那需要可观的积蓄，在西方，即便只是简单的生活，日常开支也得花不少钱。

莫妮卡也曾经考虑过在一个生活费用低廉的第三世界国家里长期闭关，但她又遇到了其他的挑战，比如拿不到长期居留的签证。另一方面，与她尝试过的其他所有方式相比，她现在的工作更容易挣到钱。事实上，她的家庭很富裕，但他们不愿资助她，因为她现在是佛教徒，而他们不是。所以如果她想成为一个修行者，就必须养活自己。

我注意到，莫妮卡对于她在做的事有种持续的愧疚感，因为她的工作涉及很多对别人的诱惑，以及说些不想说的话来取悦那些男人。她也知道那些男人中有的可能非常孤独、抑郁，她可能在利用他们。所以她不断地挣扎，不知道从因果的角度自己的做法是否正确。

按理我是在精神上指导她的人。而她真的这样去思考，实际上让我很感动，因为她没有被驱动消费型社会的那种盲目的贪婪所驱动。的确，在当今全球化的世界里，想要找到一种完全不伤害他人的生活方式是如此之难。作为消费者，我们对廉价牛仔裤的需求依赖于第三世界国家的廉价劳动力。在那里，我们的衣服是被那些连受教育的机会都没有、更不用说品尝冰淇淋味道的孩子们缝制的。他们就是靠这样一点儿可怜的收入活着。

在这样的背景中，让我们回到修行佛法是否影响我们的生活与工作的问题上来。作为一个娱乐别人的人，莫妮卡必须让自己一直好看。她的头发得是洗过以后飘逸的那种，并且她得节制饮食。和她有着同样工作的其他女孩子也需要这么做。如果没有佛法的因缘，即便只是新发现一条皱纹，对她们来说也会像世界末日一样。但对莫妮卡来说，虽然工作也要求她留意每条皱纹，但因为她修学佛法，接受起来要容易很多。

莫妮卡还是继续在伦敦和纽约这样的国际化大都市之间飞来飞去。但我相信，佛法的学习与修行对她的生活和工作有非常正面的影响。我们经常害怕修行佛法意味着我们必须放弃自己的生活和工作，但这不一定是事实。实际上，修行会带来态度上的改变，改变你对待生活和工作的方式，还有最为重要的——对待死亡的方式。

我喜欢这个事实——一旦莫妮卡有足够的钱，她就去修行。她从来没有想要存钱，或者购买最好的皮包、耳环或珠宝。她所积攒的每一分钱都是为了修行。这其实让我感到惭愧，我有这么好的条件修行佛法，所以几乎被宠坏了。此外，莫妮卡真诚地发愿，无论她所接触的是谁，最终她都可以通过那种业的联系而利益他们。这一点我不能质疑。

一些我曾有过的最为深刻的对话是在与她之间进行的。例如，她的工作需要给一些年老而富有的男性描摹幻境，但作为佛教徒，她也对他们坦言这是工作所需，虽然那样承认对她的工作不利，因为她很漂亮，他们也迷恋她。在我看来，莫妮卡的挣扎是最为深刻的精神上的挣扎之一，因为回顾我自己，身着仁波切的外衣，不知道我是否像她这样诚实？很多次，我以方便法门的名义，对那些迷失了方向、需要慰藉的人承诺说，“应该会好的，别担心”，这样一些不真实的话。

我的另一个朋友，帕特·阿姆斯特丹，是一位计算机程序员、软件设计师。很长时间里，作为佛教徒，她完成了很多修行。当她发现自己染上了致命的疾病，我告诉她，“你现在要死了，这是现实，你必须面对。”她死于癌症。我相信如果没有佛法，她不会接受得这么平静。所以是的，修行佛法并不意味着你必须放弃生活和工作，而是能更好地对待生活和工作中那些不可预见的变化。

即使你是世界上最大公司的CEO，也并不意味着你能够绕过或者超越死亡、衰老和疾病。在生老病死面前，你和其他人一样脆弱，如果不是更加脆弱的话。可我认为很多大公司的CEO都没有接受这一现实的准备。如果没有准备好接受这一最为基本的事实，那么，我们千辛万苦地建立起一种生活，并把它变得如此脆弱而狭小，究竟有什么意义呢？

顶果钦哲仁波切[1]的弟子杰拉尔德·戈代，是他那个时代最为杰出的工程师之一，凭着自己的天赋创造了很多财富。他不仅把自己所有的财富贡献于修建闭关中心和寺院，而且他自己在生命的最后阶段完成了近九年的闭关，并在闭关期间往生。他或许是我生命中遇见过的最快乐的人。

但如果我们不实修，仅仅是呆在寺庙里，穿着僧衣，做些仪轨或者约定俗成的事，甚至受些戒，或许并不能改变什么。"
皈依佛教是逃避现实的一种方式吗？,"什么是现实？我们在这个物质世界里拥有的——观念、财产、朋友、家庭、关系，这些是现实吗？这些是永恒的吗？这些是确定的吗？从佛法的角度，它们不是。它们永远都在变化，而变化是不可避免的。

虽然我们都向往并朝着某种恒常、确定的幸福努力，但那终究不会发生。它还没有在任何人身上发生过。在人类历史上，没有哪个人永远幸福生活着的记录。那只存在于电影里。可是我们不断认为永恒的幸福是存在的。还有比这严重的幻觉吗？这是一个绝对的幻觉。

事实上佛教徒所要做的事，就是从这个幻觉中逃离，所以佛教是在面对现实，而不是逃避现实。人们会认为现实就是存钱、买Prada包、有个更好的工作、有很多财产，但即便只是在理智上，我们之中有人知道，那不是现实。渴望这样的事情、并把幻觉当做现实的习性非常强烈。

我肯定很多人把佛教看成是逃避现实。事实上，很少有人能够从我们误认为是现实的那种幻觉中逃离。如果你能够从物质主义的幻觉中逃离，那你已经很有成就了。我们的先祖们，佛陀、寂天菩萨[2]和其他菩萨，并不是无家可归的流浪汉。事实上，佛陀和寂天菩萨都是王子——国王的儿子，过着皇室生活，享受至高无上的奢华与舒适。然而他们把那些都看成虚幻而痛苦的，然后从中逃离。

所以，当我们皈依佛时，我们正在从这一幻觉中逃离。我们得从承认自己有某些被政府、家庭和文化强加的特定的幻觉与衡量标准开始。特别是在这个物质主义的年代，我们以拥有多少来衡量自己、来被衡量，完全忘了自己真正是谁。结果是我们变得如此无聊、老套，所有的人都穿一样的衣服，每个人都有同样的虚幻的目标。

试想在一个只有汉堡包出售的村庄里，你只需要进一家商店就足够了。人类正变得非常无趣。如果只是无趣倒也罢了，但我们还很痛苦。我们没有意识到自己已经变得如此无趣，而是恰恰相反，我们都愿意认为自己很特别。我们衡量自己有多么特别的方式是，谁有最快的跑车，或者谁有最多的财富和最高的权力。

相比之下，皈依佛基本上是意味着接受真实的自己，并把我们的本性看作佛。这样做有许多好处，其中之一就是，试想这会从多大程度上把你从各种各样没有必要的假设、希望和恐惧中解放出来，诸如希望被某个派对、晚宴或俱乐部接纳，或者害怕不被接纳。

我不知道你们之中是否有人曾经在上海或北京的街道上徘徊，哪怕只有一次，只是做你自己，不被你拥有多少、和谁交往、有什么样的朋友衡量，而只是作为一个简单的人。或许你应该那样尝试一次，即使只是偶尔几个小时。也许你会看到很多漂亮的事物，因为直到现在，我们看到的、听到的都是被希望和恐惧过滤过了的。甚至梳头或者不梳头也是因为希望和恐惧才做的。

所有因为这样的衡量而导致的压抑给我们带来非常大的压力。压力太大，无论多少SPA和按摩都没用。人们甚至都不性感也不优雅，因为他们如此傲慢、僵硬，一点儿也不放松。不知道自己漂亮的女孩子是最漂亮的。从那些持续紧张、担心自己在公众面前的形象的大牌模特儿或影星身上，我们看不到任何魅力和雅致。事实上，看着她们的时候，我们自己甚至也会紧张起来。

以我自己为例，作为一位仁波切、一位受到广泛尊敬的著名上师的转世，几乎所有的时候，我都生活和运转在伪善的世界里。我喜欢的或者不喜欢的，我想要的或者不想要的，所有这些我最终都不会表达，因为有些来自社会的压力，要我以某种特定的方式出现。

皈依法意味着接受真理。每个人都想要健康、富有和幸福。如果接受“无论怎么努力我们都一定会生病、死去、并把所有财富留在身后”这个真理，我们就不会因为想要储蓄和积累越来越多的财富而变得这么紧张。如果接受“我们是绝对孤独的”这一真理，我们就不会参加这么多的社交活动，因为那没有意义。当你和一整桌的人交流时，每个人却都是个体。没有人知道坐在旁边的人在想什么、忙什么或者隐藏什么。

在一个像波音那样的大公司里做CEO的人，或许从不会想到死亡可能在任何时候来临，或者自己最爱的孩子头部可能正在长脑瘤。他们不会想到，自己可能会出车祸，然后余生都会坐在轮椅里，错过朋友们举行的所有聚会。

但当一件好的事情发生时，像中了彩票、和好友相遇、生意上的成功等，我们也从未真正知道如何去珍视它。我们会立刻生起贪心，想着如何才能更好，如何投资以得到更多，如何掠夺更多，或者如何诱惑某个朋友。

做一个精神性的人意味着能够面对真理，并且屈服于真理，不论处境是好是坏。当好的事情发生时，珍视它；当坏的事情发生时，不要无法自拔或太过慌乱、歇斯底里。这是皈依佛、法和僧本质上的含义。

当然，为了加强皈依这样一种修行，有一个佛堂、有一尊佛像、去到寺庙，或者念诵皈依的偈颂，在任何时候以任何形式和方法忆念佛法僧，总是有所助益的。即使是在舞池里跳舞的时候，也没有理由不能忆念佛法僧。"
为了修行，我们是否必须放弃生活中所有的享受？,"首先，重要的是要真正知道，我们所说的“享受”是什么意思。当我们说到享受，我们在享受的是什么？是真正的享受吗？例如，我们过去喜爱沙做的城堡、小玩具车、芭比娃娃，但或许如今不再喜爱了。所以我们曾经喜爱过现在不再喜爱的，现在也喜爱着一些过去未曾喜爱的；同样，现在我们所喜爱的，或许将来不会再喜爱。

我们也不知道，现在所喜爱的将来是否会给自己带来各种问题。比如，我们可能爱吃冰淇淋，但那对我们好吗？我们可能爱吃油炸食品，但那会让我们患上高血压，进而缩短我们的寿命或者导致我们的死亡。

我们可能喜欢政治上的权力，但那可能把我们送进监狱，让我们被判刑。所以，在回答“为了修行佛法，我们是否必须放弃享受”这个问题前，重要的是，先问一问“什么是享受”？那些我们认为是享受的事物，它们真的是享受吗？如果是的话，可持续多久？代价是什么？这些是应该问自己的重要的问题。

经常，我们努力工作十一个月，然后去夏威夷休息一个月。目前的世界就是因我们的贪心而被设计成这样。我们这么努力地工作，以便可以过个开心的周末。当你从不同的角度去看时，我们做的很多事真的很荒谬。

