question,answer
在一个更加基本的层面上，所有这些讨论都表明，轮回本质上是有缺陷的，为了让一些事情看上去行得通，某些其他的事情就进行不下去。"
仁波切，您在《接受南方人物周刊》采访时提到您有位女朋友，这让很多人感到困惑、不解，甚至难过。请问您是出家人吗？,"首先，重要的是要理解，持守戒律并不是修持佛法的唯一方法。在很多传统的社会里，人们相信，要做个好的佛教徒，你就必须出家。所以很多人似乎受到影响而这样认为。然而这不是真的。修持戒律只是佛陀许许多多教法中的一个——事实上，只是佛陀教授的八万四千法门中的一个——并且有很多其他有效的路径我们可以遵循。

即使在有着严格持戒教法的声闻乘里，在家众也从未被排除在外。佛陀传授了在家众通往证悟的完整道路，而了解这一点绝对是重要的，否则佛陀的教法会变得非常片面而局限，变得只对某种类型的人有效。那就有了大问题，佛法就变得像是种姓制度一样，把某些类别的人完全排除在外。

另一个极端是，有的人相信密续意味着没有戒律。这些人似乎认为：“哦，如果你是一个金刚乘或者密续的修行者，你不必持守戒律——你可以喝酒，可以有女朋友，等等。”这也不是真的。有非常多的密续修行者也是修持戒律的。

所有情况下，当佛陀的教法慢慢渗进人们意识的自相续，就会和人们的习性、传统、禁忌、心理障碍、假设和原则相遇。所以，这些也影响了佛陀不同教法的外在形式。

譬如说，在西藏的有些寺院，如果传承持有上师突然有了女朋友或结了婚，人们都会感到震惊。即便在回顾往事时，有人会浪漫地辩解，说这位传承持有者是位大成就者等等，那在当时也不会公开地被社会主流接受。

其实，你是否要做出家人，完全是个人的选择。佛陀的教法从来都不是由阶级、信条、婚姻状况或者工作职位所决定的。这是一条非常个人的道路。虽然每个人修行的路径不应该被传统或文化所左右，但它的确受到人类自身局限的影响。我不是说这样好或不好，但人的心识就是这样运转与呈现的。

我所属于的传承对于我应该出家还是做个瑜珈士并没有特定的期待，完全没有。例如蒋扬钦哲旺波，对外从来没有佛母，但是蒋扬钦哲确吉洛珠有一个。“佛母”，顺便说一下，是密乘的语言。

在我成长的过程中，有些人因为很多不同的原因，希望我成为具足戒比丘，特别是我更年轻一点儿的时候。甚至现在也还有人这样期望，即使人数比以前少了。个人而言，我从来没有出家的强烈愿望，这有很多原因，其中包括我所知道的自己的个性。而且，现代社会中，以我目前的处境，身边一直有人围绕，给两个选择方向都带来很多情绪。所以，在这样的情况下，很难成为一个比丘。

如果你只是个隐居山林的简单的出家人，那做比丘是可以的。你谁也不是，没有人会来见你，那么成为一个好比丘的机会就大得多。但是当你有某个传承的头衔，加上所有那些炒作，你就处于一种被社会设计来吸引很多人的境遇中。吸引有很多种，不一定只是虔诚心。当我越来越了解那些和我自己的个性，我感到虚伪不太好，特别是，因为我认为现在戒律在每个佛教传统中都已不清净，所以我从来没有特别想成为一名比丘，虽然我必须说，我考虑过很多次。

同样地，也有另一群人，可能比之前那群人数还多，他们因为我是敦珠法王的长子的长子，很希望我可以结婚，生下传承的继承人。现在，在我被扭曲的意识中，做出家人还是做父亲，对我个人和我的性格而言，带来的问题是类似的。我会是一个好父亲、一个好丈夫、一个好的家庭成员吗？从我的个性来判断，我必须说，我不这么认为。

你看，不管谁做我的妻子，她都会吃很多苦。我告诉所有的女孩子，不要认为喇嘛和仁波切很有吸引力，不要掉到那个陷阱里，因为那是一种痛苦的生活。"
您为什么有女朋友？,"我不是一个已经征服了对安全感、伴侣和乐趣的需要的圣人。但如果你问我是不是个很好的男友，我想不是，而且现在，我绝不会是个好丈夫。

人们问我为什么有女朋友的时候，我感到他们对我有着很高的期待——认为我在普通人之上。这着实令我担心。我非常希望人们认为我是一个百分之百的人，拥有所有人类的特质、弱点、长处和过患。当人们对我的期待超过了他们对其他人的正常期待时，这变得很困难，因为人们期待我做些超人的事，而我却只是个人。

这还会变得更复杂，因为很多时候，为了鼓舞、引导以及和人们沟通，我确实必须装得比普通人高一点儿。但有时这也产生适得其反的效果。理想的是，如果人们视我为普通人而追随我，而不是超人，我会很开心。如果人们视我为一位努力修行、珍视佛法，并想要帮助他人理解佛法的普通人，这会更好。

所以，作为一个正常人，你会感到孤独。普通人也许不理解，但这种情况下，我想我说的是许多其他的活佛，以及我自己。人们也许不相信我们会感到孤独，因为他们觉得我们身边环绕着几百个随时准备好放下一切而遵从我们意愿的人。但这并不一定意味着活佛和高阶仁波切们永远不会感到孤独，因为他们有那些娱乐设施和如此繁忙的行程安排。

于是，也许出于不安全感与孤独，有几次我曾向女孩子示爱。但也有女孩子追求我的时候，那是完全人性的事情。业力在这其中也起着很重要的作用，因为当业风以某种方式吹起，人们就相聚。有时无论你做什么努力，这都难以改变。我唯一做的就是发愿——不管我被吹到、推去或拉来哪里，无论怎样我都能利益自他。"
谈恋爱的时候，您会用什么样的态度去看待爱情？,"谈恋爱时有两个方面：理性（脑）和感性（心）。我的头脑里会有这样的认识：没有什么会成功，尤其是在关系上，当两个我执相遇时。仅是一个我执以及它自己的呈现与活动，就已经让任何努力都难以成功了。当两个我执、两种不安全感相遇时，更是没有任何成功的可能。我这样的人听过也读过无常、烦恼的游戏和不安全感，所以我有警惕，至少有时我不会因为外表或者自己当时的感受就接受事物。

我得说，从佛法的角度来看，有这样的认识是一种加持，因为，虽然我不是个好的修行人，或者也没有在修持我所知道的那些方法，至少我的头脑里有这样的认识。在恋爱中你会变得盲目，对这些事情视而不见，你的理性会消失。当然，如果你在正确的因缘下遇到正确的人，那么在一定程度上、一定的时间里，事情可能会成功。但这样的认识，说得消极一些，也让你怀疑；或者说得积极一些，能让你保持些许清醒。

当然，有时候感性会胜利，它可能胜利几天或者几个月。所以，我认为这种理性与感性之间的平衡，即使一般人也该有，因为这只会对他们有益。

我见过很多人在遇到感情问题时完全没有理性，全然都是感性。我为他们感到难过。他们非常盲目。但我也见过一些很是消极和悲观的人，因为他们非常理性、富于逻辑，所以害怕坠入感性之中，害怕堕入情网，那也不好。但是我得指出，理性和感性的争斗会持续下去。"
我想大部分中国人会认为，为了追求精神之路，您应该要舍弃世俗的爱和关系，那为什么还要在生活里寻找它们？,"首先，我想要说有很多事情应该放弃，但我没有力量放弃；有很多事情应该去做，但我却因太懦弱而没有做。所以基于个人的经验，我认为很多人在这件事情上感到困惑是有理由的。

但严格地说，从佛法的角度，你应该舍弃任何滋长你的傲慢、我执和贪心的事。这件事可能是关系，但也可能是假装舍弃关系。"
那您为什么穿僧袍？,"你说的没错——在未经训练的人看来，我穿的衣服和僧众们很类似，我想人们看到这个可能会感到困惑。我所穿的大部分衣服并不是出家众的僧袍，但期望大多数人能分辨两者之间的差异是不公平的。

根据在家修行的瑜珈士传统，我应该留长发。但我真的没什么头发可以留，这被我的一个学生静蕊大声宣扬，她管我叫“光头”！

但是有件事我需要澄清。藏传佛教有个传统，即便你有伴侣，也穿僧袍。蒋扬钦哲确吉洛珠就是如此，顶果钦哲仁波切也是如此。我决不是说我有权利效仿他们。西藏话里有个谚语：“狮子可以跳过的地方，狐狸最好不要尝试”，否则它会摔断肋骨。

但就如同上一世噶玛恰美仁波切所说：这是一个符号的年代。这就是为什么我们有穿僧袍的传统。据信在佛陀进入涅槃后，佛陀所制定的戒律将经历四个时期。在争议时期过去之后，就是符号时期。而代表佛陀的符号就是僧袍，据说僧袍能启迪人们的善根。这也就是为什么，噶玛恰美仁波切与许多过去和现在的宁玛、噶举派上师们都遵循并践行这种传统。而我也是这种实践的仰慕者，因为如果我们连僧袍都失去了，那就什么都不剩了。

然而我得说，我不知道事情将会如何发展。我随时都有可能出家，但也随时可能会结婚。那也是可能的。"
有些“世间成就”很高的人，其我执远甚于普通人。这是否意味着他们在解脱之路上有更多的障碍？,"更强的对自我的执着意味着更多的不安全感、更强的偏执狂、更加容易激动生气、更加盲目，以及更少的自在放松。所以，那些我执更强的人有着更厚的外壳，当然就更加不幸。

像晋美林巴祖师那样的成就者有一个又一个的发愿文，发愿永远不要重生为比尔·盖茨。因为当你获得了世俗的成功，不能修行的概率会大很多。但那并不意味着所有成功的人都有着更强的我执，或者修行路上障碍更多。事实上，这些所谓的富有的成功人士，如果他们有福德，当他们认识到所有的财富和世俗的成功并未带来幸福时，这些所谓富裕而成功的人经常转向精神之路。从世俗的角度，佛陀自己拥有了一切，然后因为他超凡的福德，在很短的时间里他就在精神之路上成熟了。

这并不意味着所有贫穷的人都有更多更好的机会修行佛法。从一开始就穷困的人们通常并不一定适合精神之路，因为他们一直都还没有尝到世俗成功的滋味，很多时候他们纠结于自己很贫穷、要变得富裕的想法。"
对于这些事业上相对成功的自我主义者，您有什么好的建议吗？,"如果你能接触他们，如果你足够善巧，你肯定可以通过各种各样的方式影响到他们。向他们传教不一定奏效。但是，像我以前说过的，那些我执很强的人实际上不安全感也很强。哪里烟多，哪里火大。所以哪里有不安全感——如果你知道是哪种不安全感——你就可以从那里介入，并通过那个不安全感与之沟通。

但是像晋美林巴那样的伟大祖师永远都不会想重生为一个世俗成功的极端自我主义者，因为那样的人不会听别人的话，即使听了也听不进去，因为他们的自我如此膨胀。

但是，我们依然没有理由舍弃他们。如果你和这些人是朋友，如果你在意他们，你可以修行并把福德回向他们，这样他们会以某种方式和佛法结缘，如果不是这一世，或许十世之后。毕竟对一个大乘行者来说，救度众生永远都不晚。"
为什么有时学佛者的“自我”表现得更加严重？是否修行到了一定的程度，在我执快要被打破的阶段，修行者有时会显现更加严重的我执？可以这么问吗？,"是的，当然可以。这是最常见的问题之一。这意味着佛法只是进入了他们的头脑，而没有进入心灵。佛法成了自我的另一个工具。有时用坏了很多念珠、压坏了很多坐垫的人看上去像是很好的行者，但这只是外表。他们或许曾经把自己关进一间房里，装作在修行，却没有真的修行。这是很常见的。

我的老师们告诉我，精通佛法和修行好的人有两种外相表现。精通佛法最好的表现就是变得谦逊，修行好最好的表现是没什么烦恼——不会激动或愤怒。如果你没有这两种表现，那么你就没有学好也没有修好。

我认识一个堪布，他很博学，通晓仪轨文本与经文，并且精勤持戒，对自己的学识渊博与戒律清净非常骄傲。他出生于西藏，是个大男子主义者，倾向于看低女性。有时候很难区分他看低女性是因为西藏文化，还是以修持戒律为托辞，那是他惯于吹嘘的。

同一个寺庙里，我记得有位当地的尼师，她没有名气，也不博学，却每天在寺庙里勤劳地清洗供杯，并准备供佛的酥油灯。这些都是寺庙里琐碎的杂事，没有什么人愿意做。堪布并不尊重这位尼师。

总之，随着时光流逝，尼师因为健康问题往生了。她走得如此优雅，让我想起佛经里的偈颂，释迦牟尼佛说：“真正追随我的人会像狮子一样死去。”当我看到她往生时的状况，没有财产，没有任何要保护的东西，如此自在，我强烈地忆起了这个偈颂。

此后一段时间，这位堪布遭遇车祸而折断了脖子，他没有往生，但已非常接近死亡。从他的示现中，我学到了很多。他很恐惧，因为佛法从未进入他的心灵深处；他很慌乱，他的行为像是不想死却又感到死亡即将来临的普通人，不知道该怎么办。他所有关于无常和死亡的知识都只是停留在理智上。更为难堪的是，他努力隐藏自己的恐惧，因为即使在这种情况之下，他还是虚伪，还是想要装作满不在乎的样子，但实际上他很在意。

这实在把我吓坏了。看到这些，我想，我要是最终像这位堪布一样可怎么办呀？所以，对自我的执着会在最不可能的人心里出现。

但是正如你在问题中所说的，我们刚刚开始修行时，有一些修行人的自我也可能表现得更加强大，这是因为自我被引出来，正在反抗呢。这种情况实际上并不太坏。

[1] 西方通常使用洗衣机和烘干机，洗牛仔裤很方便，而长衫因材质关系容易起皱，洗起来比较麻烦。
[2] 寂止与胜观（梵Shamatha，Vipashyana）：禅修的两个主要方面。寂止（或音译为“奢摩他”）的梵文字义是，在思维活动平息后，安住于静定中（calm abiding or remaining in quiescence）；指调柔内心以不受念头干扰的禅修。胜观（或音译为“毗婆舍那”）的梵文字义是“明见”或“更广阔的见”（clear or wider seeing）；通常指对空性的洞察。
[3] 声闻乘（梵Shravakaya）：声闻之道，也称为“上座部”（Theravada）传统，“基础乘”，或现今比较少用的“小乘”（Hinayana）。
[4] 蒋扬钦哲旺波（Jamyang Khyentse Wangpo，1820-1892）：又名“贝玛沃瑟多昂林巴”，被视为是无垢友（Vimalamitra）与赤松德赞王的双重化身。蒋扬钦哲旺波是一位重要的伏藏师（“五大伏藏王”（Five Sovereigh Tert.ns）之第五位），也是19世纪最尊贵的上师之一。他与秋吉林巴、蒋贡康楚生于同一时代，是利美运动的发起者。
[5] 佛母（Spiritual Consort）：喇嘛或活佛的精神伴侣或妻子。
[6] 蒋扬钦哲确吉洛珠（Jamyang Khyentse Chökyi Lodrö，1896-1959）：生于噶妥寺附近的历奇亚针，被认证为蒋扬钦哲旺波之事业化身。20世纪西藏杰出的教证俱备的上师。晚年驻锡于锡金，并受王室供养，于当地弘法施教。
[7] 噶玛恰美仁波切（Karma Chagme Rinpoche）：莲花见解脱宝冠持有者，其将宁玛和噶举两大宗派的法源汇融成一支，创立内多噶举派，成了这一派系的开山祖师。目前第七世噶玛恰美仁波切驻锡于尼泊尔加德满都的寺庙。

# 乘
佛法就像不同种类的医药与疗法，对不同的人在不同的情形下奏效。"
初学者该如何理解不同的乘之间的异同？为什么佛陀要教授八万四千法门？我们怎样选择适合我们的方法？藏传佛教有什么特别的地方？,"2009年，我在澳大利亚生病了，最终医生不得不摘除了我的胆囊。此前，出于对我的爱与关心，我的朋友和学生之间发生了很多争论。有一群人完全反对西方手术治疗的方式，建议采用传统的医药与疗法，例如中国针灸、顺势疗法、自然疗法等。不管怎样，最后由于严重的疼痛，情况紧急，我没有选择，只能就诊西医外科，做了手术。

佛法就像那些不同种类的医药与疗法，每一种对不同的人在不同的情形下奏效。事实上，八万四千法门只是一个象征性的表述，真正的方法比这个数字还要多得多，因为众生有如此之多的烦恼、情绪、疾病以及内在的痛苦，这些都需要不同的疗法。

因此，针对有着不同病症、不同弱点、不同文化的众生，佛陀有着不同的教授。藏传佛教并不比其他的教派更加殊胜。西藏人不应认为自己的方法最殊胜，那样想是很傲慢的。

但是老师们为了鼓励学生，不让他们分心散乱，倾向于说某种特定的方法对你来讲是最好的。但那仅是一种训练的方式，不应该理解成一种方法比另一种好。

佛陀自己在般若部的佛经中说，如果有人认为这个教授仅仅是针对声闻、缘觉[1]或者大乘等某种特定的修行人的话，这并不是良好的态度。把佛陀的教授分割开来并加上偏好是非常不敬的做法。佛陀所说的每个字都是如此殊胜而珍贵。中国的大乘佛教绝不应该看低声闻、缘觉和上座部[2]佛教，同样，藏传佛教也不应看低其他的教派。

我不是在提倡政治正确，而是在普及一种智慧——了解佛陀的教授是多么珍贵。每个教法都针对特定的听众、根器和时间。例如，当佛陀教导出家僧侣时，他可能会说不要靠近女孩子。但这和歧视女性无关，因为在其他的教授里，例如密续的教授，女性是智慧的精华。

另一个例子是，佛陀教导出家僧侣，在托钵化缘的时候，无论别人供养的是什么都必须接受。在这种情况下，你或许会看到上座部的僧侣接受肉食。大乘修行者不应该为此批评上座部。佛陀不是在开许吃肉，而仅仅是说僧侣们在化缘时不应该有分别心。在金刚乘里，佛陀关于不应该有分别心的教诫是从另外一个非常不同的角度来诠释的。佛陀说你不应该选择，因为选择是在做一个判断以及表达一种偏好，是一种二元的思维。

所以，佛教分为不同的乘，这本身就证明了佛陀的伟大。佛陀并不只针对一个类型的人进行教授，他的教授没有被文化、时间和环境所局限而变得偏狭。如果受到这些局限，那么现在，佛陀的所有追随者都应该裹着印度腰布，袒露胸部，因为这就是两千五百年前他在印度教授佛法时人们的普遍装束。

但同时，我们不应该认为，佛陀为适应不同弟子的根器而采取不同的教授方法，只是说一些他们想听到的来娱乐大家。佛陀所有教法的终极目标是粉碎二元的自我，事实上，没有任何一个教法鼓励我们保留二元分别的意识。

仅仅这一点就能证明佛陀的无量悲心与无边法力。因此，一个聪明的精神之道探求者应该意识到，对一个人的精神成长来讲，有无数种选择，是多么好的消息。"
怎样选择正确的修行之路？,"我并不是回答这个问题的最佳人选，因为从某个角度来讲，我是如此幸运，出生在佛教国度的佛教家庭之中。基本上，我从母亲的子宫里蹒跚而出的那一刻起，一切就都是佛教的——佛龛、经幡、佛塔——真的是所有一切。

另一方面，探索精神之路的过程或许是心灵旅途中最为重要的元素之一，而这是我从未经历过的。是的，后来我经历过，但属于已经是佛教徒却还在寻找的那种佛教徒。我认识一个伊朗人，他和他的穆斯林家庭一起生活在穆斯林国家，然而对精神之路的探求最终把他带向佛教，这使我深受鼓舞。

具有讽刺意味的是，满足感是在你尚未真正找到却仍在寻找的时候来临的。寻找的过程是成熟的过程，只要坚持不懈，这一过程必定会非常美妙，并且有所收获。

很多人也在探索，但却在探索过程中被物质所迷惑。正如我们之前讨论的，有八万四千种路径与方法，你可以从中选择自己感觉相应的。和这种精神之道相遇可能有很多种方式——可能是通过读书，也可能是通过和一位戴着佛教护身符的女孩约会。

在寻找的时候，如华智仁波切所说，你应该像只饥饿的牦牛，精进不懈、满怀渴望，另外，保持开放的心态和批判性思维也很重要。同样，我们也必须批判性地看待批判性思维。所以，从愚昧状态开始，你需要变得聪明起来，而最终也得摆脱聪明本身。"
声闻乘、菩萨乘[3]和金刚乘各是针对何种根器的众生，其见地与修道的方法最为主要的区别是什么？例如，他们如何看待轮回与涅槃？如何看待并对治烦恼？如何看待并调伏身心？,"广义来讲，“众生的根器”可以有很多含义，基本上主要是欣赏、消化和吸收见地的能力。我们大多数人没有倾听和思考的能力，甚至会赞赏“没有轮回和涅槃这些事情存在”那样的说法，因为我们会以听到断见而告终。

这真的是取决于你在具有哪种倾向与能力的环境中长大。假如你在一个热爱上帝的家庭里长大，周围人谈论的都是上帝的存在、神的恩赐与力量、神无所不在全知全能等诸如此类的事情，有时听了太多之后，你会对那种观念产生逆反心理，你想听些别的。人类的心识就是这样运作的。有时，这样的状态可能是听闻空性的完美法器。

同时，你可能在一个相信永恒的有神论家庭中长大，并且你自己也无比坚定地信奉上帝和所有那些存在。需要彻底摧毁这种见解。那块地毯需要从你的脚下抽走，以近乎粗暴的方式。在正确的条件和情况下，这也是可以做到的。至于所有的细节，只有佛陀才知道。

这些倾向性会不断改变，甚至在同一个人的心里，早上和晚上都可能不同。早上你可能更喜欢“空”，但到了晚上你可能更喜欢“有”。那什么样的教导方式比较合适呢？老师是应该随顺学生们不断变化的倾向性，还是应该逆向而为呢？这取决于老师的慈悲和智慧。当文殊师利菩萨宣讲空性的时候，据信有五百阿罗汉[4]因心脏病发作而死亡。我确定文殊师利菩萨知道这个后果，但是或许这正是必要的。阿罗汉们吐血的事实表明他们对空性有了一些理解。

以金刚乘为例，它有不同的方法，归结在不同密续里。有的金刚乘教法，例如事部密续[5]，教授戒律，诸如坚持茹素、保持洁净，以及一种倡导分别的本尊[6]与坛城[7]的修法。这种密续的教法比较适合受儒家价值观影响而有着强烈的秩序感和行为准则的心识。

反之，阿努瑜伽[8]的教法涉及到不提倡分别心的、更加大胆的修法，你甚至可以使用正常情况下受到防范的事物来修行，例如酒和肉。对于分别心较重的那一类人，如果由非常善巧的老师来教授他们阿努瑜伽，也是可能奏效的。

所以密续里这样说：如果一个不太善巧的、没有勇气的老师坚持给一个能力强大的学生普通的、有更多分别心的教授，例如坚持茹素、保持洁净等，那么老师是在浪费学生的生命，这被认为是很不好的。反之亦然，如果一个教授密续的老师不懂得善巧方便，给一个非常狭隘、执着于伦理道德和正义的学生展示密续本尊拥抱明妃的照片，导致那个学生完全丧失了对金刚乘的信心，那么老师就毁掉了他成为密续修行者的可能性，这是非常严重的过失。"
声闻乘、菩萨乘和金刚乘的修行者所受持的戒律有何区别？,"因为众生根器不同，所以佛教的见地呈现的方式也不同。从究竟上来说都是同样的见地，只是剂量不同。对于能力弱一些的人，需要更多定义好的行为准则，例如不杀生、不妄语、不偷盗等。然而追随大乘的人应该具有更广大的能力，所以给他们更广大些的见地，其中包含更加概括性的定义。这使得菩萨道更加复杂，而同时又有着丰厚回报，因为如果在行为上没有利益众生，即便不杀生、不妄语或者不偷盗，也可能是违犯了戒律。

对于能力较弱的人，解决方案和问题本身被定义和区分得非常清楚。然而，对于更高根器的人，从究竟意义上来讲，这二者之间不存在区别。问题本身就是解决方案，密续就是这样传授的。

所以，广义地说，不同乘中戒律的关键区别在于，声闻乘所禁止的，在大乘佛教中可能被允许；大乘佛教所禁止的，在密乘佛教中可能被允许。"
为什么修行金刚乘成佛比其他乘要快得多？,"“快”和“慢”是从修行者的角度而言，并且只是相对的概念。但作为一种方法，金刚乘确实更快。举例说，你很渴，我们知道你的渴需要通过喝水来解除，但是我们遇到一个更大的问题，就是你不相信水确实是水。所以我们只得骗你喝，把水说成牛奶、蜂蜜、橙汁或者其他什么。我们给水染色，让它看上去更有吸引力，然后我们才能让你喝。这个过程需要些时间，因为我们必须榨柠檬汁、给水染色、做上不同的标记，并说服你接受它对你有好处，等等。但是如果你有能力看到水就直接接受它是水，那么工作就完成了，你直接喝就行了。

重要的是，要知道，当我们说金刚乘是较快的路径，我们纯粹是从路径的角度说的，然而事实上，需要花多少时间真的取决于修行的人。有的人可能很谨慎，因而选择较长而安全的路；有的人可能会选择一条捷径，但路上会有很多障碍。如果不知道如何应对这些障碍，本来是走了捷径的人可能反而比选择长路的人更晚到达目的地。"
在金刚乘中，守持密乘戒[9]是我们可以做到的事情吗？,"很难。在你思考的那一刻，你就违犯了三昧耶戒。但是金刚乘伟大的地方就在于，在你思考的那一刻，你也可以修复三昧耶戒。所以这是一条非常非常非常美丽的路径。从究竟意义上来说，修复它比违犯它有更多的机会成功。原因是当你修复的时候，你就距离真理更近，而真理永远不会失败。正是这一点使得金刚乘非常殊胜。

例如，如果你受戒过午不食，而你又碰巧吃了点东西，你就犯戒了，你不能吐出来然后说你没有吃。然而在金刚乘中，如果你认为一个人漂亮或者一个人很丑，你就犯戒了，但是你可以通过持咒、应用见地以及立刻纠正这个念头来修复它。此外还有一些修法，照之修持，只是以某种见地吃一片饼干，就可以积累比邀请几千尊佛共进午餐还要大的功德。所以不去修行金刚乘，那一定是疯了。"
如果遇见对金刚乘有误解的人，我们应该怎么办？,"理想情况下，我们绝不应该让那些不欣赏金刚乘的人接触到它。不过，如果是一个思维开放的人正在寻觅修行之道，遇见金刚乘，产生了误解，这可以通过闻思修来纠正。

但是当然，有些人反对金刚乘，是因为他们真的对金刚乘有误解，把它看成是邪恶或染污的。对这类人，如果有时间、开放性和适当的条件，应该尝试通过逻辑和推理来帮助他们了解金刚乘的见地和修法等。但如果某人并没有兴趣听这些，那最好的办法就是避开他，并在远处为他的证悟祈祷。"
修行金刚乘有十四条根本戒律[10]，一旦不小心犯戒就有可能堕入金刚地狱。这是否意味着修行金刚乘很不安全？如果修行者违犯戒律该如何补救？,"首先，重要的是要理解，没有先守持所有的三昧耶戒然后再修行这样的事，因为守持三昧耶戒就是修行本身。大乘的经典里说过，所有其他的戒律都像是陶罐，一旦被打碎就无法真正修复；然而大乘的戒律像是金罐，即使它凹损了，如果有一个好的金匠，甚至能把它修复得比以前更漂亮。

与此类似，违犯金刚乘的三昧耶戒可能很容易，但是修复它也同样容易。说到违犯根本戒律而堕入金刚地狱，我想要指出的是，金刚地狱不应该被认为是为违犯三昧耶戒的人们准备的恐怖地方。基本上，金刚地狱是一种状态，在那种状态里的人不能欣赏和理解绝对的不二。你可能是个正直的人，遵纪守法、道德高尚，但是你没有于究竟意义上理解不二的能力，对于金刚乘的修行者来说，这就是金刚地狱，因为它看上去很不错，所以不太容易产生从中走出来的愿望。"
不少中国学生喜欢经常念诵甚至抄写《金刚经》和《心经》。《金刚经》里说，“若以色见我，以音声求我，是人行邪道，不能见如来。”说的是不可以执着于声与相等形式，而藏传佛教中有很多较为形式化的修行方法，例如观想、磕大头、念经咒等。如何正确理解这些修行的方法？,"在《金刚经》里，佛陀说，那些把佛理解为具体色相的人，其见地是错误的（“若以色见我，以音声求我，是人行邪道，不能见如来”）。这正是金刚乘想要表达的，不过是以一种完全相反的方式。般若智慧的重点就是，你是否对佛陀有一种二元的分别，诸如“色”，“色”这个概念意味着英寸、厘米、英尺，当然还有重量、颜色、形状等。如果你在颜色、形状和大小的局限之内来看佛，那么你不会理解佛。这个观点在金刚乘里是用方便的方法教授的。

